Product,Brand,Pack size,Role,COST (supplier),PRICE,'Was' price,Discount shown,Gross profit,Gross margin,Mark-up on cost,Parcel kg,Carrier,Our delivery cost,Customer pays,Contribution per order,Contribution margin,Break-even ROAS,Pet Zone BD,Pet Elements BD,Miki Pet Store,SB Pet Shop,AmarPet,BD Pet Mart,Mew Mew Shop BD,Pet Town BD,Pure Pets Food,Arogga,Rokomari,Daraz (marketplace),Cheapest rival,Market median,Highest genuine selling price,Where our price sits
"Reflex Plus Adult, Choosy Salmon",Reflex Plus,1.5 kg,"Core range, flat price",৳840,"৳1,190","৳1,450",17.9%,৳350,29%,42%,1.5,RedX,৳80,৳70,৳254,21.3%,4.7x,"৳1,050",,"৳1,090","৳1,250",,"৳1,200",,,,,,,"৳1,050","৳1,145","৳1,250",Dearer than 2 of 4
"Prostar Adult, Chicken",Prostar,15 kg,"Bulk, NOT advertised","৳4,100","৳5,400","৳6,580",17.9%,"৳1,300",24%,32%,15.0,Our own rider,৳250,৳150,"৳1,108",20.5%,4.9x,"৳4,900","৳5,200",,,,,,,,,,,"৳4,900","৳5,050","৳5,200",Dearer than 2 of 2
"Prostar Kitten, Chicken",Prostar,15 kg,"Bulk, NOT advertised","৳4,100","৳5,400","৳6,580",17.9%,"৳1,300",24%,32%,15.0,Our own rider,৳250,৳150,"৳1,108",20.5%,4.9x,"৳4,900",,,,,,,,,,,,"৳4,900","৳4,900","৳4,900",Dearer than 1 of 1
"Prostar Sterilised, Salmon (Adult & Kitten)",Prostar,1.2 kg,ADD-ON ONLY,৳370,৳500,৳610,18.0%,৳130,26%,35%,1.2,RedX,৳80,৳70,৳67,13.4%,7.5x,৳480,৳470,,,,,,,,,,,৳470,৳475,৳480,Dearer than 2 of 2
"Prostar Adult Sterilised, Salmon",Prostar,1.2 kg,ADD-ON ONLY,৳370,৳500,৳610,18.0%,৳130,26%,35%,1.2,RedX,৳80,৳70,৳67,13.4%,7.5x,৳480,৳470,,,,,,,,,,,৳470,৳475,৳480,Dearer than 2 of 2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"★ 3-MONTH SUPPLY (3 x 1.5 kg, 5 recipes)",Reflex Plus,4.5 kg,"HERO SKU, primary advertised · FREE delivery (live)","৳2,520","৳3,390","৳4,140",18.1%,৳870,26%,35%,4.5,RedX,৳125,৳0,৳588,17.4%,5.8x,,,,,,,,,,,,,,,,"Saves ৳180 vs three singles. Ships RedX at ৳125. Free delivery, so this is the live number."
  3-pack if we charged ৳70,Reflex Plus,4.5 kg,"Comparison only, not live","৳2,520","৳3,390","৳4,140",18.1%,৳870,26%,35%,4.5,RedX,৳125,৳70,৳648,19.1%,5.2x,,,,,,,,,,,,,,,,Free delivery costs ৳60 of contribution
"  Basket: 2 x 1.5 kg, charging ৳70",Reflex Plus,3.0 kg,Reference basket,"৳1,680","৳2,380","৳2,900",17.9%,৳700,29%,42%,3.0,RedX,৳95,৳70,৳535,22.5%,4.4x,,,,,,,,,,,,,,,,Charging delivery
"  Basket: 2 x 1.5 kg, FREE delivery",Reflex Plus,3.0 kg,Reference basket,"৳1,680","৳2,380","৳2,900",17.9%,৳700,29%,42%,3.0,RedX,৳95,৳0,৳476,20.0%,5.0x,,,,,,,,,,,,,,,,Free delivery costs ৳60
